2023-12-04 15:40:55,340 - __main__ - INFO - This is an info message
2023-12-04 15:40:55,340 - __main__ - WARNING - This is a warning message
2023-12-04 15:40:55,340 - __main__ - ERROR - This is an error message
2023-12-04 15:40:55,340 - __main__ - CRITICAL - This is a critical message
2023-12-04 19:14:23,918 - template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-04 19:14:23,919 - template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:55:44,343 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:55:44,344 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:59:01,884 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 15:59:01,885 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:42:49,745 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:42:50,454 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:43:07,707 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:43:08,413 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:45:40,659 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:45:41,353 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:12,476 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:13,146 - alpha_template - INFO - DATA:E:\Pycharm_files\Quant\devolop\data
2023-12-05 20:47:13,925 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.00), Mean(-10.06), Median(-10.00), Q9(-2.00),Max(-1.00), Cnt(2801)
2023-12-05 20:47:13,927 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-10.19), Median(-10.00), Q9(-2.00),Max(-1.00), Cnt(2801)
2023-12-05 20:47:13,928 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-10.50), Median(-10.00), Q9(-1.00),Max(-1.00), Cnt(2803)
2023-12-05 20:47:13,930 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-10.55), Median(-11.00), Q9(-2.00),Max(-1.00), Cnt(2803)
2023-12-05 20:47:13,931 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-10.70), Median(-11.00), Q9(-2.00),Max(-1.00), Cnt(2803)
2023-12-05 20:47:13,933 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-10.99), Median(-10.00), Q9(-2.00),Max(-1.00), Cnt(2804)
2023-12-05 20:47:13,935 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-19.50), Mean(-11.11), Median(-11.00), Q9(-2.00),Max(-1.00), Cnt(2804)
2023-12-05 20:47:13,936 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-11.26), Median(-12.00), Q9(-2.00),Max(-1.00), Cnt(2804)
2023-12-05 20:47:13,938 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-11.19), Median(-12.00), Q9(-1.00),Max(-1.00), Cnt(2804)
2023-12-05 20:47:13,940 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-11.62), Median(-13.00), Q9(-1.00),Max(-1.00), Cnt(2804)
2023-12-05 20:47:13,941 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-11.88), Median(-13.00), Q9(-1.00),Max(-1.00), Cnt(2804)
2023-12-05 20:47:13,943 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-11.69), Median(-13.50), Q9(-1.00),Max(-1.00), Cnt(2804)
2023-12-05 20:47:13,945 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-11.89), Median(-14.00), Q9(-2.00),Max(-1.00), Cnt(2805)
2023-12-05 20:47:13,946 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-11.85), Median(-14.00), Q9(-2.00),Max(-1.00), Cnt(2806)
2023-12-05 20:47:13,948 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-12.06), Median(-14.00), Q9(-3.00),Max(-1.00), Cnt(2807)
2023-12-05 20:47:13,950 - alpha_template - INFO - alpha stats: Min(-20.00), Q1(-20.00), Mean(-12.26), Median(-14.00), Q9(-1.00),Max(-1.00), Cnt(2807)
